policy,n,mean_profit,sd,se,ci95
Newsvendor,10,103.21199999999999,6.374656504907191,2.015843385671505,3.951053035916149
PPO,10,35.276500000000006,1.7219079372732,0.5445151002905655,1.0672495965695084
QRDQN,10,41.319,18.97752000540523,6.001218755849145,11.762388761464324
