comparison,mean_diff,ci_lo,ci_hi,n_pairs
PPO - Newsvendor,-67.93549999999999,-72.1085125,-63.67838750000001,10
QRDQN - Newsvendor,-61.892999999999994,-71.450825,-51.5969125,10
